A&A,Astronomy And Astrophysics
,":-),Shaved Left Eyebrow"
8-0,Shocked
+-(,Shot Between The Eyes
:-V,Shouting
:O,Singing
~:-P,Single Hair
:-/,Skeptical
':-/,Skeptical Again
:-7,Skeptical Variation
O-),Smiley After Smoking A Banana
):-),Smiley With Hair
:-,",Smirk"
;^),Smirking
~~~~8},Snake
:-( <|,Standing Firm
%-),Staring At A Screen For Too Long
(8-{)},"Sunglasses, Mustache, Beard"
/8^{~,"Sunglasses, Mustache, Goatee"
:0,Surprised
`:-),Sweating
:-0,Talkative
:-S,Talking Gibberish
&-|,Tearful
-(:)(0)=8,Teletubby
:-)---,Thin As A Pin
:-?,Tongue Sticking Out
:-&,Tongue Tied
:-A,Tongue Touching Nose
*!#*!^*&:-,Total Head Case
:-&,Tongue-tied
:-))),Triple Chin
<:>==,Turkey
X:-/,Uncertain
:-/,Undecided
:-|,Unfazed
|:-),Unibrow
|:-|,Unyielding
:-))),Very Happy
(:-(,Very Unhappy
%'),Very Tired
:-[,Vampire
@:-),Wearing A Turban
:-<,Walrus
@:-),Wavy Hair
{(:-),Wearing A Toupee
[:-),Wearing A Walkman
8-),Wearing Contacts
B-),Wearing Glasses
:-{},Wearing Lipstick
]-I,Wearing Sunglasses
:-1,Whatever
":-""",Whistling
;^?,Wigged Out
;O),Wink
'-),Winking
,"-),Winking Happy"
;-),Winking Variation
8<:-),Wizard
-=#:-) /,Wizard With Wand
:-)8 :,Woman
:~),Wondering
,"-},Wry And Winking"
:-7,Wry Face
|^O,Yawning Or Snoring Variation
:-(0),Yelling
=8-0,Yikes!
:-(*),You Make Me Sick!
:--------),You're A Big Liar!
X-(,You're Mad!
404,I Haven't A Clue - From The Internet 404 Page Not Found Error.
::POOF::,Goodbye (leaving The Room)
?,Huh?
?4U,Question For You
>U!,Screw You!
2L8,Too Late
2U2,To You Too
4GM,Forgive Me
A/S/L?,Age/sex/location?
AAMOF,As A Matter Of Fact
AAYF,"As Always, Your Friend"
ABT2,About To
ADN,Any Day Now
AFAIC,As Far As I'm Concerned
AFAIK,As Far As I Know
AFK,Away From Keyboard
AKA,Also Known As
ALOL,Actually Laughing Out Loud
AML,All My Love
ASAP,As Soon As Possible
ASL,"Age, Sex, Location?"
ASLMH,"Age, Sex, Location, Music, Hobbies?"
ASLP,"Age, Sex, Location, Picture?"
ATM,At The Moment
ATST,At The Same Time
ATYS,Anything You Say
AWA,As Well As
AWOL,Absent Without Leave
AYK,As You Know
AYSOS,Are You Stupid Or Something
AYTMTB,And You're Telling Me This Because?
B/C,Because
B4,Before
B4N,Bye For Now
BAC,Back At Computer
BAK,Back At Keyboard
BAS,Big A** Smile
BBIAB,Be Back In A Bit
BBL,Be Back Later
BBN,Bye Bye Now
BBS,Be Back Soon
BBT,Be Back Tomorrow
BC,Be Cool
BCNU,Be Seeing You
BD,Big Deal
BEG,Big Evil Grin
BF,Boy Friend
BFD,Big F***ing Deal
BFN,Bye For Now
BG,Big Grin
BIBO,"Beer In, Beer Out"
BIL,Brother In Law
BIOYIOP,Blow It Out Your I/O Port
BL,Belly Laughing
BME,Based On My Experience
BMGWL,Busting My Gut With Laughter
BOT,Back On Topic
BOTEC,Back-of-the-envelope Calculation
BRB,Be Right Back
BRH,Be Right Here
BTA,But Then Again...
BTDT,"Been There, Done That"
BTSOOM,Beats The S*** Out Of Me
BTW,By The Way
BW,Best Wishes
BWL,Bursting With Laughter
BWTHDIK,But What The Heck Do I Know...?
BYKT,But You Knew That
BYOH,Bat You On A Head
BYTM,Better You Than Me
C&G,Chuckle And Grin
CFV,Call For Votes
CICO,"Coffee In, Coffee Out"
CID,Consider It Done
CMIIW,Correct Me If I'm Wrong
CNP,Continued In Next Post
CRB,Come Right Back
CRBT,Crying Real Big Tears
CSL,Can't Stop Laughing
CU,See You
CUL,See You Later
CUL8R,See You Later
CUS,See You Soon
CWOT,Complete Waste Of Time
CYA,See Ya!
CYA,Cover Your Ass
CYL,See You Later
CYO,See You Online
CYT,See You Tomorrow
DBA,Doing Business As
DGA,Don't Go Anywhere
DIIK,Darned If I Know
DIKU,Do I Know You?
DITYID,Did I Tell You I'm Distressed?
DIY,Do It Yourself
DL,Dead Link
DLTBBB,Don't Let The Bed Bugs Bite
DLTM,Don't Lie To Me
DOM,Dirty Old Man
DOS,Dozing Off Soon
DQMOT,Don't Quote Me On This
DTRT,Do The Right Thing
DWB,Don't Write Back
DYJHIW,Don't You Just Hate It When...
EAK,Eating At Keyboard
EG,Evil Grin
EMFBI,Excuse Me For Butting In
EMSG,E-mail Message
EOD,End Of Discussion
EOL,End Of Lecture
EOM,End Of Message
EOR,End Of Rant
EOT,End Of Thread (meaning: End Of Discussion)
F,Female
F2F,Face To Face (also Meeting In Person)
FAQ,Frequently Asked Questions
FC,Fingers Crossed
FCOL,For Crying Out Loud
FF,Friends Forever
FFS,For F*cks Sake
FIL,Father In Law
FISH,"First In, Still Here"
FITB,Fill In The Blanks
FLA,Four-letter Acronym
FMTYEWTK,Far More Than You Ever Wanted To Know
FNB,Football And Beer
FOAD,F*ck Off And Die
FOCL,Falling Off The Chair Laughing
FOFL,Falling On The Floor Laughing
FOMCL,Falling Off My Chair Laughing
FTBOMH,From The Bottom Of My Heart
FUBAR,F*cked Up Beyond All Repair / Recognition
FUD,"Fear, Uncertainty, And Doubt"
FWIW,For What It's Worth
FYA,For Your Amusement
FYI,For Your Information
FYM,For Your Misinformation
G,Grin
G2G,Gotta Go
GA,Go Ahead
GA,Good Afternoon
GAL,Get A Life
GAS,Greetings And Salutations
GBH,Great Big Hug
GBHK,Great Big Hug & Kiss
GD&R,"Grinning, Ducking, And Running"
GE,Good Evening
GF,Girlfriend
GFN,Gone For Now
GG,Good Game
GGP,Gotta Go Pee
GI,Good Idea
GIWISI,"Gee, I Wish I Said It"
GIWIST,"Gee, I Wish I'd Said That"
GJ,Good Job
GL,Good Luck
GM,Good Morning
GM,Good Move
GM,Good Match
GMAB,Give Me A Break
GMTA,Great Minds Think Alike
GN,Good Night
GOL,Giggling Out Loud
GR&D,"Grinning, Running & Ducking"
GR8,Great
GTG,Got To Go
GTRM,Going To Read Mail
GTSY,Glad To See You
H,Hug
H&K,Hugs And Kisses
HAK,Hugs And Kisses
HAGD,Have A Good Day
HAGN,Have A Good Night
HAND,Have A Nice Day
HB,Hug Back
HCIT,How Cool Is That
HF,Have Fun
HH,Ha-ha
HH,Holding Hands
HHIS,Hanging Head In Shame
HHOJ,Ha Ha Only Joking
HHOJ/K,"Ha Ha, Only Joking/Kidding"
HHOK,Ha Ha Only Kidding
HHOS,"Ha Ha, Only Serious"
HIG,How's It Going
HIWTH,Hate It When That Happens
HOAS,Hold On A Second
HT,Hi There
HTH,Hope This Helps
HUB,Head Up Butt
IAC,In Any Case
IAE,In Any Event
IAG,It's All Good
IAGW,In A Good Way
IANAL,I Am Not A Lawyer
IBN,I'm Butt Naked!
IC,I See / In Character
IDGI,I Don't Get It
IDK,I Don't Know
IGP,I Gotta Pee
IGGP,I Gotta Go Pee
IHA,I Hate Acronyms
IHU,I Hear You
IIRC,If I Remember Correctly
IK,I Know
IKWUM,I Know What You Mean
ILU,I Love You
ILY,I Love You
IM,Instant Message
IMAO,In My Arrogant Opinion
IMCO,In My Considered Opinion
IME,In My Experience.
IMHO,In My Humble Opinion
IMNERHO,In My Not Even Remotely Humble Opinion
IMNSHO,In My Not So Humble Opinion
IMO,In My Opinion
IMS,I Am Sorry
INRS,It's Not Rocket Science
IOH,I'm Outta Here
IOW,In Other Words
IPN,I'm Posting Naked
IRL,In Real Life
IRSTBO,It Really Sucks The Big One
IS,I'm Sorry
ISWYM,I See What You Mean
ITIGBS,I Think I'm Going To Be Sick
IWALU,I Will Always Love You
IYKWIM,If You Know What I Mean
J/P,Just Playing
J4G,Just For Grins
JAM,Just A Minute
JASE,Just Another System Error
JBOD,Just A Bunch Of Disks
JIC,Just In Case
JK,Just Kidding
JMHO,Just My Humble Opinion
JMO,Just My Opinion
JTLYK,Just To Let You Know
K,Kiss
K,OK
KB,Kiss Back
KEWL,Cool
KIR,Keeping It Real
KISS,Keep It Simple Stupid
KIT,Keep In Touch
KOTC,Kiss On The Cheek
KOTL,Kiss On The Lips
KWIM,Know What I Mean?
L,Laugh
L8R,Later
L8R G8R,Later Gator
LD,"Later, Dude"
LDR,Long-distance Relationship
LHO,Laughing Head Off
LI,Laughing Inside
LIS,Laughing In Silence
LLTA,Lots And Lots Of Thunderous Applause
LMAO,Laughing My A** Off
LMK,Let Me Know
LMSO,Laughing My Socks Off
LOL,Laugh Out Loud
LRF,Little Rubber Feet
LSHMBH,Laughing So Hard My Belly Hurts
LTM,Laugh To Myself
LTNS,Long Time No See
LTR,Long-term Relationship
LULAB,Love You Like A Brother
LULAS,Love You Like A Sister
LUM,Love You Man
LUWAMH,Love You With All My Heart
LY,Love Ya
LY4E,Love Ya Forever
LYK,Let You Know
M,Male
M8,Mate
ME2,Me Too
MIL,Mother In Law
MORF,Male Or Female
MOSS,Member Of The Same Sex
MOTAS,Members Of The Appropriate Sex
MOTOS,Member Of The Opposite Sex
MOTSS,Members Of The Same Sex
MSG,Message
MTF,More To Follow
MUD,Multi User Dungeon
MUSM,Miss You So Much
MYOB,Mind Your Own Business
N,In
N/C,Not Cool
N/P,No Problem
N1,Nice One
N2M,Not Too Much
NADT,Not A Darn Thing
NBD,No Big Deal
NE1,Anyone
NFG,No F*cking Good
NFW,No F*cking Way
NIFOC,Naked In Front Of Computer
NM,Never Mind
NM,Not Much
NMH,Not Much Here
NMJC,"Nothing Much, Just Chillin"
NMP,Not My Problem
NNITO,Not Necessarily In That Order
NO1,No One
NOTTOMH,Not Off The Top Of My Head
NOYB,None Of Your Business
NP,No Problem
NRN,No Response / Reply Necessary
NUFF,Enough Said
NW,No Way
OBTW,"Oh, By The Way"
OIC,Oh I See
OLL,Online Love
OMDB,Over My Dead Body
OMG,Oh My God
OMG,Oh My Gosh
ONNA,"Oh No, Not Again"
OOC,Out Of Character
OOTO,Out Of The Office
OT,Off Topic
OTF,Off The Floor
OTOH,On The Other Hand
OTT,Over The Top
OTTH,On The Third Hand
OTTOMH,Off The Top Of My Head
P911,Parent Alert
PAL,Parents Are Listening
PANS,Pretty Awesome New Stuff
PAW,Parents Are Watching
PD,Public Domain
PDA,Public Display Of Affection
PEBCAK,Problem Exists Between Chair And Keyboard
PIBKAC,Problem Is Between Keyboard And Chair
PIR,Parents In Room
PITA,Pain In The Ass
PLS,Please
PLZ,Please
PM,Private Message
PMFJI,Pardon Me For Jumping In
PMFJIB,Pardon Me For Jumping In But...
POAHF,Put On A Happy Face
POS,Parents Over Shoulder
POTC,Peck On The Cheek
POTS,Plain Old Telephone Service
PPL,People
PU,That Stinks!
QL,Quit Laughing
QT,Cutie
RBTL,Reading Between The Lines
REHI,Hello Again
RESQ,Rescue
RFC,Request For Comment
RFD,Request For Discussion
RL,Real Life - I.e. When Not Chatting
ROFL,Roll On Floor Laughing
ROR,"Raffing Out Roud (from ScoobyDoo = ""laughing Out Loud"")"
ROTFL,Rolling On The Floor Laughing
ROTFLMAO,Rolling On The Floor Laughing My Ass Off
ROTFLMBO,Rolling On The Floor Laughing My Butt Off
RPG,Role-playing Games
RSN,Real Soon Now
RT,Real Time
RTFM,Read The F*cking Manual
RTM,Read The Manual
RUOK,Are You OK?
RYO,Roll Your Own
S,Smile
S^,S'up - What's Up
S2R,Send To Receive
S4L,Spam For Life
SB,Smiles Back
SCNR,"Sorry, Could Not Resist"
SEG,S**t-eating Grin
SETE,Smiling Ear To Ear
SHCOON,Shoot Hot Coffee Out Of Nose
SHID,Slaps Head In Disgust
SIL,Sister In Law
SITD,Still In The Dark
SLY,Still Love You
SMEM,Send Me An Email
SMIM,Send Me An Instant Message
SNAFU,"Situation Normal, All F*cked Up"
SO,"Significant Other (boyfriend, Girlfriend, Wife, Husband, Partner, Spouse"
SOHF,Sense Of Humour Failure
SOL,Smiling Out Loud
SOL,Stuff Outta Luck
SOMY,Sick Of Me Yet?
SOS,Same Old Stuff
SOT,Short On Time
SOTMG,Short On Time Must Go
SSDD,Same Stuff Different Day
STR8,Straight
STFU,Shut The F*ck Up
STFW,Search The F*cking Web
STW,Search The Web
SU,Shut Up
SUAKM,Shut Up And Kiss Me
SUP,What's Up
SWAG,Stupid Wild-a** Guess
SWAK,Sealed With A Kiss
SWALK,Sealed With All Loving Kiss
SWL,Screaming With Laughter
SYL,See You Later
SYS,See You Soon
TA,Thanks Again
TAFN,That's All For Now
TAH,Take A Hike
TANSTAAFL,There Ain't No Such Thing As A Free Lunch
TARFU,Things Are Really F*cked Up
TBC,To Be Continued
TCO,Taken Care Of
TCOY,Take Care Of Yourself
TGIF,Thank God It's Friday
THX,Thanks
TIA,Thanks In Advance
TIC,Tongue In Cheek
TILII,Tell It Like It Is
TLA,Three-letter Acronym
TLK2UL8R,Talk To You Later
TM,Trust Me
TMA,Take My Advice
TMI,Too Much Information
TNT,Till Next Time
TNX,Thanks
TNX 1.0E6,Thanks A Million
TOH,The Other Half
TOM,Tomorrow
TOPCA,Till Our Paths Cross Again (early Celtic Chat Term)
TOY,Thinking Of You
TPTB,The Powers That Be
TTFN,Ta-ta For Now
TTG,Time To Go
TTYL,Talk To You Later
TU,Thank You
TVM,Thank You Very Much
TY,Thank You
TYVM,Thank You Very Much
U2,You Too
UAPITA,You're A Pain In The Ass
UR,Your / You're
UR,You Are ...
UW,You're Welcome
VBG,Very Big Grin
VBSEG,Very Big S**t-eating Grin
VEG,Very Evil Grin
VES,Very Evil Smile
VM,Voice Mail
VWG,Very Wicked Grin
VWS,Very Wicked Smile
W,Wink
W2F,Way Too Funny
W8,Wait
W8AM,Wait A Minute
WAG,Wild A*s Guess
WAYD,What Are You Doing
WB,Welcome Back
WB,Write Back
WBS,Write Back Soon
WC,Who Cares?
WDALYIC,Who Died And Left You In Charge?
WE,Whatever
WEG,Wicked Evil Grin
WF,Way Fun
WFM,Works For Me
WG,Wicked Grin
WIBNI,Wouldn't It Be Nice If...
WNDITWB,We Never Did It This Way Before
WRT,With Regard / Respect To
WT?,What / Who The ?
WTF,What The F*ck?
WTFO,What The F*ck? Over!
WTG,Way To Go!
WTGP?,Want To Go Private?
WTH,What The Hell?
WTHDTM,What The Hell Does That Mean?
WU?,What's Up?
WUF?,Where Are You From?
WYP,What's Your Problem?
WYSIWYG,What You See Is What You Get
WYWH,Wish You Were Here
XOXO,Hugs And Kisses
Y,Why?
YBS,You'll Be Sorry
YGBSM,You Gotta Be Sh*ttin' Me!
YKYBOTLW,You Know You've Been On Line Too Long When?
YMMV,Your Mileage May Vary
YMMVG,Your Mileage May Vary Greatly
YRG,You Are Good!
YW,You're Welcome
ZZZ,"Sleeping, Bored"
C4I,"Command, Control Communications, Computers And Intelligence"
!,I Have A Comment
?,I Have A Question
@TEOTD,At The End Of The Day
^5,High Five
^RUP^,Read Up Please
^URS,Up Yours
<3,Heart
:-0 HBTU 0-:,Happy Birthday To You
@WRK,At Work
02,Two Cents Worth
1174,Nude Club
121,One To One
1337,Elite
143,I Love You
14AA41,One For All And All For One
182,I Hate You
20,Location
2L8,Too Late
2B OR NOT 2B,To Be Or Not To Be
2BCTND,To Be Continued.
2BZ4UQT,Too Busy For You Cutey
2D4,To Die For
2G2B4G,Too Good To Be Forgotten
2G2BT,Too Good To Be True
2G4U,Too Good For You
2HT2HNDL,Too Hot To Handle.
2MORO,Tomorrow
2NITE,Tonight
2U2,To You Too
2WIMC,To Whom It May Concern
404,I Haven't A Clue - From The Internet: 404 Page Not Found Error
4E,Forever
4YEO,For Your Eyes Only
411,Information
420,Marijuana
459,I Love You
4COL,For Crying Out Loud
4EAE,ForEver And Ever
4EVER,Forever
4NR,Foreigner
4Q,F*ck You
5FS,5 Finger Salute
8,Oral Sex
831,I Love You
86,Out Of; Over; To Get Rid Of; Kicked Out
9,Parent Is Watching
99,Parent Is No Longer Watching
A/S/L/P,Age/Sex/Location/Picture
A3,"Anyplace, Anywhere, Anytime"
AAF,As A Friend
AAK,Asleep At Keyboard
AAM,As A Matter Of Fact.
AAMOF,As A Matter Of Fact
AAMOI,As A Matter Of Interest
AAR,At Any Rate
AAR8,At Any Rate
AAS,Alive And Smiling
AATK,Always At The Keyboard
AAYF,"As Always, Your Friend"
AB,Ass Backwards
AB,Ah Bless!
ABITHIWTITB,A Bird In The Hand Is Worth Two In The Bush
ABT2,About To
ACE,Access Control Entry
ACK,Acknowledgement
ACORN,A Completely Obsessive Really Nutty Person (or Real Nutjob)
ADAD,Another Day Another Dollar
ADBB,All Done Bye Bye
ADCTD2UV,Addicted To Love
ADIH,Another Day In Hell
ADIP,Another Day In Paradise
ADN,Any Day Now (or Advanced Digital Network)
ADR,Address
AEAP,As Early As Possible
AFAGAY,A Friend As Good As You
AFAHMASP,A Fool And His Money Are Soon Parted
AFAIC,As Far As I'm Concerned
AFAICS,As Far As I Can See
AFAICT,As Far As I Can Tell
AFAIK,As Far As I Know
AFAIR,As Far As I Remember
AFAIU,As Far As I Understand
AFAIUI,As Far As I Understand It
AFAP,As Far As Possible
AFAYC,As Far As You're Concerned
AFC,Away From Computer
AFDN,Any F*cking Day Now
AFGO,Another F*cking Growth Opportunity
AFIAA,As Far As I Am Aware
AFINIAFI,A Friend In Need Is A Friend Indeed
AFJ,April Fools Joke
AFK,Away From Keyboard
AFPOE,A Fresh Pair Of Eyes
AFT,About F*cking Time
AFZ,Acronym Free Zone
AGKWE,And God Knows What Else
AIAMU,And I'm A Monkey's Uncle
AIGHT,All Right
AIH,As It Happens
AIMB,As I Mentioned Before
AIMP,Always In My Prayers
AISB,As I Said Before
AISE,As I Said Earlier
AISI,As I See It
AITR,Adult In The Room
AKA,Also Known As
ALLWANISU,All I Want Is You
ALAP,As Late As Possible
ALCON,All Concerned
ALOL,Actually Laughing Out Loud
ALOTBSOL,Always Look On The Bright Side Of Life
ALTG,"Act Locally, Think Globally"
AMAP,As Many / Much As Possible
AMBW,All My Best Wishes
AMF,Adios Mother F*cker
AML,All My Love
AMRMTYFTS,All My Roommates Thank You For The Show
ANFAWFOS,And Now For A Word From Our Sponsor
ANFSCD,And Now For Something Completely Different
AOAS,All Of A Sudden
AOB,Abuse Of Bandwidth
AP,Apple Pie
AS,Ape Sh*t
AS,Another Subject
ASAFP,As Soon As F*cking Possible
ASAMOF,As A Matter Of Fact
ASAP,As Soon As Possible
ASAYGT,As Soon As You Get This
ASL,Age/Sex/Location
ASLMH,Age/Sex/Location/Music/Hobbies
ATAB,Ain't That A Bitch
ATB,All The Best
ATC,Any Two Cards
ATSL,Along The Same Line
ATST,At The Same Time
ATW,All The Web
ATW,Around The Web
ATW,At The Weekend
ATWD,Agree That We Disagree
AWC,"After A While, Crocodile"
AWGTHTGTTA,Are We Going To Have To Go Through This Again
AWHFY,Are We Having Fun Yet?
AWLTP,Avoiding Work Like The Plague
AWNIAC,All We Need Is Another Chair
AWOL,Absent Without Leave
AWTTW,A Word To The Wise
AYC,Aren't You Clever
AYC,Aren't You Cheeky
AYCE,All You Can Eat
AYK,As You Know
AYOR,At Your Own Risk
AYSOS,Are You Stupid Or Something
AYTMTB,And You're Telling Me This Because
AYV,Are You Vertical?
B&F,Back And Forth
B/C,Because
B4,Before
B4N,Bye For Now
B4U,Before You
B4YKI,Before You Know It
BAC,Bad Ass Chick
BAG,Busting A Gut
BAG,Big Ass Grin
BAK,Back At Keyboard
BAMF,Bad Ass Mother F*cker
BARB,Buy Abroad But Rent In Britain
BAU,Business As Usual
BB,Be Back
BB4N,Bye Bye For Now
BBAMFIC,Big Bad-Ass Mother F*cker In Charge
BBB,Bye Bye Babe
BBB,Boring Beyond Belief
BBBG,Bye Bye Be Good
BBFBBM,"Body By Fisher, Brains By Mattel"
BBFN,Bye Bye For Now
BBIAB,Be Back In A Bit
BBIAF,Be Back In A Few
BBIAS,Be Back In A Sec
BBIAW,Be Back In A While
BBL,Be Back Later
BBMFIC,Big Bad MotherF*cker In Charge
BBN,Bye Bye Now
BBR,Burnt Beyond Repair
BBS,Be Back Soon
BBSD,Be Back Soon Darling
BBSL,Be Back Sooner Or Later
BBT,Be Back Tomorrow
BBW,Big Beautiful Woman
BC,Because
BCBG,"Bon Chic Bon Genre (French For, Good Style, Good Attitude)"
BCBS,"Big Company, Big School"
BCNU,Be Seeing You
BCOZ,Because
BD,Big Deal
BD,Baby Dance
BD,Brain Drain
BDBI5M,Busy Daydreaming Back In 5 Minutes
BDC,Big Dumb Company
BDC,Big Dot Com
BDN,Big Damn Number
BEG,Big Evil Grin
BF,Boyfriend
BF,Best Friend
BF,Bitch Features
BFD,Big F*cking Deal
BFF,Best Friends Forever
BFFN,Best Friends For Now
BFFTTE,Best Friends Forever Til The End
BFN,Bye For Now
BFR,Big F*cking Rock
BGWM,Be Gentle With Me
BHAG,Big Hairy Audacious Goal
BHG,Big Hearted Guy / Girl
BHIMBGO,"Bloody Hell, I Must Be Getting Old"
BHOF,Bald Headed Old Fart
